timestamp,strategy,commodity,type,strike,premium,spot,reason
2026-02-27T09:15:17.809966,CPR,GOLDM,BUY_CE_CPR,160200,10359.5,160152.0,Narrow CPR (0.058%) bullish breakout
2026-02-27T09:15:17.809977,Survivor,GOLDM,SELL_PE_SURV,156600,7651.0,160152.0,Survivor: PE sell at 156600 dist=3593 gap=1437 res=153200
2026-02-27T09:15:17.809981,CPR,SILVERM,BUY_CE_CPR,265500,41682.0,265256.0,Narrow CPR (0.038%) bullish breakout
2026-02-27T09:15:17.809986,Survivor,SILVERM,SELL_PE_SURV,252500,19987.5,265256.0,Survivor: PE sell at 252500 dist=12616 gap=5046 res=244329
2026-02-27T09:15:17.809990,CPR,CRUDEOILM,BUY_CE_CPR,5950,325.5,5955.0,Narrow CPR (0.111%) bullish breakout
2026-02-27T09:15:17.809993,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,328.55,5955.0,Ghost Zone: Supply retest
2026-02-27T09:15:17.810008,Survivor,CRUDEOILM,SELL_PE_SURV,5850,137.04991112152547,5955.0,Survivor: PE sell at 5850 dist=86 gap=34 res=5718
2026-02-27T09:15:29.212787,CPR,GOLDM,BUY_CE_CPR,160200,10359.5,160160.0,Narrow CPR (0.058%) bullish breakout
2026-02-27T09:15:29.212800,Survivor,GOLDM,SELL_PE_SURV,156600,4051.40979656928,160160.0,Survivor: PE sell at 156600 dist=3593 gap=1437 res=153200
2026-02-27T09:15:29.212804,CPR,SILVERM,BUY_CE_CPR,265500,41682.0,265256.0,Narrow CPR (0.038%) bullish breakout
2026-02-27T09:15:29.212807,Survivor,SILVERM,SELL_PE_SURV,252500,4592.242114759488,265256.0,Survivor: PE sell at 252500 dist=12616 gap=5046 res=244329
2026-02-27T09:15:29.212811,CPR,CRUDEOILM,BUY_CE_CPR,5950,188.8624919750645,5955.0,Narrow CPR (0.111%) bullish breakout
2026-02-27T09:15:29.212814,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,183.866942048368,5955.0,Ghost Zone: Supply retest
2026-02-27T09:15:29.212818,Survivor,CRUDEOILM,SELL_PE_SURV,5850,137.04991112152547,5955.0,Survivor: PE sell at 5850 dist=86 gap=34 res=5718
2026-02-27T09:15:40.574943,CPR,GOLDM,BUY_CE_CPR,160200,10359.5,160160.0,Narrow CPR (0.058%) bullish breakout
2026-02-27T09:15:40.574953,Survivor,GOLDM,SELL_PE_SURV,156600,4051.40979656928,160160.0,Survivor: PE sell at 156600 dist=3593 gap=1437 res=153200
2026-02-27T09:15:40.574957,CPR,SILVERM,BUY_CE_CPR,265500,41682.0,265256.0,Narrow CPR (0.038%) bullish breakout
2026-02-27T09:15:40.574960,Survivor,SILVERM,SELL_PE_SURV,252500,4592.242114759488,265256.0,Survivor: PE sell at 252500 dist=12616 gap=5046 res=244329
2026-02-27T09:15:40.574964,CPR,CRUDEOILM,BUY_CE_CPR,5950,188.8624919750645,5955.0,Narrow CPR (0.111%) bullish breakout
2026-02-27T09:15:40.574967,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,183.866942048368,5955.0,Ghost Zone: Supply retest
2026-02-27T09:15:40.574971,Survivor,CRUDEOILM,SELL_PE_SURV,5850,137.04991112152547,5955.0,Survivor: PE sell at 5850 dist=86 gap=34 res=5718
2026-02-27T09:15:51.990847,CPR,GOLDM,BUY_CE_CPR,160200,10359.5,160160.0,Narrow CPR (0.058%) bullish breakout
2026-02-27T09:15:51.990860,Survivor,GOLDM,SELL_PE_SURV,156600,4051.40979656928,160160.0,Survivor: PE sell at 156600 dist=3593 gap=1437 res=153200
